index,SAYUR-SAYURAN,UMBI-UMBIAN,IKAN,TELUR,SUSU,PADI PADIAN,DAGING,KONSUMSI
426,9765,1827,14295,2462,3070,17811,2266,middle_comsumption
427,6790,630,17451,2711,4092,17307,1908,middle_comsumption
428,8314,2596,16200,2122,1843,19173,2566,middle_comsumption
429,8115,1005,17606,2825,5267,17896,2774,high_consumption
430,7173,1567,15989,2838,2303,19154,1448,middle_comsumption
431,10399,2804,22954,3591,4686,17516,5270,high_consumption
432,9148,1176,17059,2796,3332,18736,2298,middle_comsumption
433,7479,2651,13565,2068,2612,17516,2299,middle_comsumption
434,6708,789,12062,2305,2057,20471,1122,middle_comsumption
435,6954,1573,13759,2370,1663,19031,1705,middle_comsumption
436,5963,2073,10783,1672,1312,18855,638,middle_comsumption
437,12873,1856,22420,4646,7043,16599,5806,high_consumption
438,8954,1007,16987,3207,3891,16723,2409,middle_comsumption
439,11268,1182,14734,2830,2491,18245,4311,middle_comsumption
440,10881,1108,16247,2430,2543,17759,3422,middle_comsumption
441,10975,968,15517,2240,3120,18232,1996,middle_comsumption
442,9545,1219,13992,2062,4821,17331,3518,middle_comsumption
443,10804,909,15805,2662,2596,19011,2842,middle_comsumption
444,14414,1135,19399,3187,4401,16846,5607,middle_comsumption
445,6289,603,12760,1983,2080,18174,906,middle_comsumption
446,6448,733,13246,2363,1787,19270,1057,middle_comsumption
447,6067,1352,9325,1992,1275,20464,5315,middle_comsumption
448,8543,557,15682,2283,2767,20381,2650,middle_comsumption
449,11157,1161,17818,3355,4511,19347,3054,middle_comsumption
450,8680,932,16271,2598,4484,20091,3035,middle_comsumption
451,13488,4574,17177,2004,3417,25293,1433,middle_comsumption
